condition,trial,sample,logical_neuron,replica,physical_coordinate,nominal_input_s,first_spike_s,fired,spike_count
ttfs_M1_local-pool_dedicated,0,1,27,0,390,2.4999999999999998e-05,2.9655999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,28,0,7,2.4999999999999998e-05,3.0135999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,1,29,0,135,2.4999999999999998e-05,2.9791999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,0,0,0,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,1,0,128,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,2,0,256,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,3,0,384,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,4,0,1,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,5,0,129,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,6,0,257,2.4999999999999998e-05,3.0359999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,7,0,385,2.4999999999999998e-05,3.395999999999999e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,8,0,2,2.4999999999999998e-05,3.0687999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,9,0,130,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,10,0,258,2.4999999999999998e-05,3.3872e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,11,0,386,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,12,0,3,2.4999999999999998e-05,3.0544e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,13,0,131,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,14,0,259,2.3e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,15,0,387,2.4e-05,3.1144e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,16,0,4,2.3e-05,2.6479999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,17,0,132,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,18,0,260,2.2e-05,2.8479999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,19,0,388,2.2e-05,2.8751999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,20,0,5,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,21,0,133,2.1e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,22,0,261,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,23,0,389,2.4999999999999998e-05,3.0415999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,24,0,6,2.4999999999999998e-05,3.0215999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,25,0,134,2.3e-05,,0,0
ttfs_M1_local-pool_dedicated,0,2,26,0,262,2.4999999999999998e-05,3.0191999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,27,0,390,2.4999999999999998e-05,2.9647999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,28,0,7,2.4999999999999998e-05,2.9831999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,2,29,0,135,2.4999999999999998e-05,2.9775999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,0,0,0,2.1e-05,2.5783999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,1,0,128,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,2,0,256,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,3,0,384,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,4,0,1,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,5,0,129,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,6,0,257,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,7,0,385,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,8,0,2,2.4999999999999998e-05,3.3304e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,9,0,130,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,10,0,258,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,11,0,386,1.9999999999999998e-05,2.4879999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,12,0,3,2.3e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,13,0,131,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,14,0,259,2.4999999999999998e-05,3.2927999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,15,0,387,2.4999999999999998e-05,3.1663999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,16,0,4,2.4999999999999998e-05,2.9695999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,17,0,132,2.4999999999999998e-05,3.3391999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,18,0,260,2.4999999999999998e-05,3.0343999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,19,0,388,2.4999999999999998e-05,3.0047999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,20,0,5,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,21,0,133,2.3e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,22,0,261,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,23,0,389,2.4999999999999998e-05,3.1039999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,24,0,6,2.4999999999999998e-05,3.0535999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,25,0,134,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,3,26,0,262,2.4999999999999998e-05,3.0544e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,27,0,390,2.4999999999999998e-05,3.0127999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,28,0,7,2.4999999999999998e-05,3.0167999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,3,29,0,135,2.4999999999999998e-05,2.9999999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,0,0,0,2.3e-05,,0,0
ttfs_M1_local-pool_dedicated,0,4,1,0,128,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,4,2,0,256,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,4,3,0,384,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,4,4,0,1,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,4,5,0,129,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,4,6,0,257,2.4999999999999998e-05,3.1583999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,7,0,385,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,4,8,0,2,2.4999999999999998e-05,3.3072e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,9,0,130,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,4,10,0,258,2.4999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,4,11,0,386,1.9999999999999998e-05,2.4807999999999997e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,12,0,3,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,4,13,0,131,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,4,14,0,259,2.4999999999999998e-05,3.2976e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,15,0,387,2.4999999999999998e-05,3.1599999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,16,0,4,2.4999999999999998e-05,2.9751999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,17,0,132,2.4999999999999998e-05,3.3384e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,18,0,260,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,4,19,0,388,2.4999999999999998e-05,3.0511999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,20,0,5,2.4e-05,,0,0
ttfs_M1_local-pool_dedicated,0,4,21,0,133,2.2e-05,,0,0
ttfs_M1_local-pool_dedicated,0,4,22,0,261,2.1e-05,2.5871999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,23,0,389,2.4999999999999998e-05,3.1175999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,24,0,6,2.4999999999999998e-05,3.056e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,25,0,134,2.4999999999999998e-05,3.228799999999999e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,26,0,262,2.4999999999999998e-05,3.0423999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,27,0,390,2.4999999999999998e-05,3.0231999999999994e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,28,0,7,2.4999999999999998e-05,3.0567999999999996e-05,1,1
ttfs_M1_local-pool_dedicated,0,4,29,0,135,2.4999999999999998e-05,3.0191999999999995e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,0,0,0,1.7e-05,2.104e-05,1,1
ttfs_M1_local-pool_dedicated,0,5,1,0,128,1.9999999999999998e-05,,0,0
ttfs_M1_local-pool_dedicated,0,5,2,0,256,2.4e-05,,0,0
