condition,accuracy,nll,conversion_drop,hardware_drop,pool_size,pooling_domain,placement,mapping,trials,recovery_vs_m1,recovery_ci_low,recovery_ci_high,neuron_miss_rate,all_miss_rate,sample_any_all_miss_rate,oracle_valid_accuracy,latency_variance_s2,multi_spike_rate
float-ann,1.0,0.04316438362002373,0.0,0.0,,,,,,,,,,,,,,
ideal-converted,1.0,0.004799348767846823,0.0,0.0,,,,,,,,,,,,,,
ttfs_M1_local-pool_dedicated,0.4583333432674408,5.63994026184082,0.0,0.5416666567325592,1,ttfs,local-pool,dedicated,2,0.0,0.0,0.0,0.48750001192092896,0.48750001192092896,1.0,,1.342274473608632e-12,0.0
ttfs_M4_local-pool_dedicated,0.5833333134651184,1.9301867485046387,0.0,0.4166666865348816,4,ttfs,local-pool,dedicated,2,0.12499997019767761,-0.125,0.4166666567325592,0.46319442987442017,0.2805555462837219,1.0,,1.0943885028508754e-12,0.0
