seed,epoch,train_loss,validation_accuracy,validation_nll,test_accuracy,test_nll,elapsed_s,parameter_sha256
0,200,0.09473399278521538,0.9710000157356262,0.0893341675400734,0.9739999771118164,0.08493419736623764,14.839326084940694,32abff40fcf65764b4ef573492dde296b6cdb0732a371c4c0431ce3d2eb9d100
1,200,0.16186590595245362,0.9440000057220459,0.14761081337928772,0.9399999976158142,0.14789192378520966,11.976248197024688,ce5323ab89f4af84b1427e0dbe54a84746918978cf35e8aaee98dbf2e16ba87a
2,200,0.38864692406654355,0.8529999852180481,0.3893231451511383,0.8690000176429749,0.348632276058197,12.120605539996177,b77502fe7fa77c9af0c0deec547152549ca8b80a041c749587ffd3f29c7a15c3
3,200,0.39216495752334596,0.8759999871253967,0.36807781457901,0.8730000257492065,0.3246038854122162,12.032363303005695,30fb4dc97027f984aab6021bc06b9801aed19d2e06ea26085eb317b155b08655
4,200,0.08880901441574096,0.972000002861023,0.09637633711099625,0.9700000286102295,0.09525223076343536,11.997390644042753,d072b399538009ed5e3069fa79d45c7875033881dec8ddd3903e90aba1e70a35
