primitive,stage,split,device,physical_coordinate,input_code,ideal_variable,sample_count,mean,variance,miss_rate,multiple_spike_rate,saturation_rate
phi-np,dynamic,calibration,1,11,11.0,11.0,128,1.6314687500000038e-05,3.048746062992461e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,12.0,12.0,128,1.5950062500000036e-05,4.924043700787554e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,13.0,13.0,128,1.5509312500000035e-05,7.801476771654221e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,14.0,14.0,128,1.527556250000004e-05,6.049845275590937e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,15.0,15.0,128,1.4989562500000036e-05,7.107382283465116e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,16.0,16.0,128,1.4677375000000038e-05,4.5049055118109183e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,17.0,17.0,128,1.4447562500000035e-05,2.996440551181529e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,18.0,18.0,128,1.4282187500000033e-05,5.0840909448820444e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,19.0,19.0,128,1.3953437500000037e-05,3.8562704724411986e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,20.0,20.0,128,1.3626562500000037e-05,5.3293287401576385e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,21.0,21.0,128,1.3491375000000038e-05,5.71994803149612e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,22.0,22.0,128,1.3211750000000035e-05,3.996214173228523e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,23.0,23.0,128,1.3256562500000036e-05,1.0312081496062822e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,24.0,24.0,128,1.2955500000000035e-05,5.2538204724408253e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,25.0,25.0,127,1.2771275590551217e-05,4.5535852018499195e-14,0.0078125,0.0,0.0
phi-np,dynamic,calibration,1,11,26.0,26.0,128,1.2382187500000034e-05,3.603070472440969e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,27.0,27.0,128,1.2226625000000038e-05,4.8670346456692376e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,28.0,28.0,128,1.1963250000000035e-05,5.32262677165372e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,29.0,29.0,128,1.1795437500000035e-05,3.981372834645496e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,30.0,30.0,128,1.1666625000000038e-05,3.4288992125987994e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,1,11,31.0,31.0,128,1.1615437500000039e-05,2.379911417322853e-14,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,0.0,0.0,128,1.6711875000000037e-05,1.1412659842519508e-13,0.0,0.0,0.0
phi-np,dynamic,calibration,2,13,1.0,1.0,128,1.6691875000000037e-05,9.126196850393896e-14,0.0,0.0,0.0
