pool_size,placement,routing,estimator,evaluation_trials,valid_pools,all_miss_rate,neuron_miss_rate,multi_spike_rate,bias_s,mae_s,variance_s2,mean_pairwise_correlation
1,same-quadrant,broadcast,corrected-mean,4,12,0.0,0.0,0.0,-2.5333333333332978e-08,5.099999999999946e-08,3.775515151515077e-15,nan
1,same-quadrant,broadcast,mean,4,12,0.0,0.0,0.0,-2.5333333333332554e-08,5.099999999999931e-08,3.775515151515126e-15,nan
1,same-quadrant,broadcast,median,4,12,0.0,0.0,0.0,-2.5333333333332554e-08,5.099999999999931e-08,3.775515151515126e-15,nan
1,same-quadrant,broadcast,earliest,4,12,0.0,0.0,0.0,-2.5333333333332554e-08,5.099999999999931e-08,3.775515151515126e-15,nan
4,same-quadrant,broadcast,corrected-mean,4,12,0.0,0.0,0.0,-1.4000000000000488e-08,4.4916666666666616e-08,3.704999999999928e-15,0.18428015457010927
4,same-quadrant,broadcast,mean,4,12,0.0,0.0,0.0,-1.3999999999999781e-08,4.491666666666619e-08,3.7049999999998675e-15,0.18428015457010927
4,same-quadrant,broadcast,median,4,12,0.0,0.0,0.0,-3.2416666666666655e-07,3.2416666666666655e-07,1.6738242424242198e-14,0.18428015457010927
4,same-quadrant,broadcast,earliest,4,12,0.0,0.0,0.0,-5.114999999999996e-07,5.114999999999996e-07,6.9278181818181865e-15,0.18428015457010927
