candidate_id,constant_current_code,error,held_out_validated,phi_nl_best_coordinate,phi_nl_best_sigma_s,phi_nl_best_signal_span_s,phi_nl_calibration_median_rt,phi_nl_calibration_minimum_sigma_s,phi_nl_held_out_median_rt,phi_nl_held_out_minimum_rt,phi_nl_held_out_validated,phi_np_best_coordinate,phi_np_best_sigma_s,phi_np_best_signal_span_s,phi_np_calibration_median_rt,phi_np_calibration_minimum_sigma_s,phi_np_held_out_median_rt,phi_np_held_out_minimum_rt,phi_np_held_out_validated,precharge_input_fan_in,precharge_weight_maximum,primitive,ramp_stop_s,run,selection_eligible,selection_objective_rt,status,threshold_code,validation_objective_rt
cc0256_th0600_stop085.00us_fanin01_w63,256,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,8.499999999999999e-05,coarse,,,failed,600,
cc0512_th0600_stop045.00us_fanin01_w63,512,phi-np/static calibration gate failed,,,,,,,,,,,,,,,,,,1,63,,4.4999999999999996e-05,coarse,,,failed,600,
cc1022_th0600_stop025.00us_fanin01_w63,1022,,False,390,2.0650811122078778e-07,2.135383333333314e-06,0.15519834348758144,1.747549395264497e-07,0.18954117042301633,0.09670774703407958,False,273,4.319174818308089e-07,2.3539333333332873e-06,0.2640967219625948,4.5714369245949386e-07,0.27403091657604317,0.18348755919063867,False,1,63,phi-nl,2.4999999999999998e-05,coarse,True,0.15519834348758144,complete,600,
cc1022_th0550_stop025.00us_fanin03_w63,1022,PyNN worker timed out for phi-np/static/code=0,,,,,,,,,,,,,,,,,,3,63,,2.4999999999999998e-05,known_good_connectivity_20260921T025455Z,,,failed,550,
cc1022_th0550_stop025.00us_fanin03_w63,1022,PyNN worker timed out for phi-np/static/code=0,,,,,,,,,,,,,,,,,,3,63,,2.4999999999999998e-05,known_good_connectivity_20260921T030636Z,,,failed,550,
cc1022_th0550_stop025.00us_fanin03_w40,1022,,True,168,7.248110864984727e-08,4.520833333333335e-06,0.03192490232511233,7.063143775968225e-08,0.030352123886799306,0.01603268762761598,True,72,1.3852364419116555e-07,4.048083333333343e-06,0.05062075307480235,1.1411650966348782e-07,0.05486790884984857,0.03421956337966492,True,3,40,phi-nl,2.4999999999999998e-05,phi_nl_precharge_gain_boundary_screen,True,0.03192490232511233,complete,550,0.030352123886799306
cc1022_th0550_stop025.00us_fanin03_w48,1022,,True,168,8.397142371068955e-08,5.592399999999989e-06,0.023576905698801366,8.43247689985981e-08,0.024107680416354988,0.01501527496436051,True,72,1.1598582288845668e-07,4.383399999999999e-06,0.04832747111652134,1.2128753714486999e-07,0.0424364241736174,0.026460241567837,True,3,48,phi-nl,2.4999999999999998e-05,phi_nl_precharge_gain_boundary_screen,True,0.023576905698801366,complete,550,0.024107680416354988
cc1022_th0550_stop025.00us_fanin03_w56,1022,,False,168,9.745517488113316e-08,5.861583333333333e-06,0.02263563591533168,7.923298976227224e-08,0.022344296696910453,0.0166260836601828,False,72,1.2832805183937787e-07,5.295316666666676e-06,0.03450218597700441,9.93785132153337e-08,0.0350318238225901,0.02423425451535054,False,3,56,phi-nl,2.4999999999999998e-05,phi_nl_precharge_gain_boundary_screen,True,0.02263563591533168,complete,550,
cc1022_th0550_stop025.00us_fanin03_w63,1022,,True,168,1.5429985237985478e-07,6.701166666666668e-06,0.024299917278677377,9.122426577762845e-08,0.03612083692826942,0.0230258192423988,True,216,9.691233151668664e-08,4.267666666666675e-06,0.02890382128151453,8.447326993395178e-08,0.029365627917821595,0.02270850539327184,True,3,63,phi-nl,2.4999999999999998e-05,phi_nl_precharge_gain_boundary_screen,True,0.024299917278677377,complete,550,0.03612083692826942
cc1022_th0550_stop025.00us_fanin04_w40,1022,,True,168,1.1352219557818682e-07,5.619266666666685e-06,0.024253098140047086,8.435533309887619e-08,0.028749066718585237,0.02020231505502256,True,80,8.995159191970162e-08,3.148566666666683e-06,0.038987733247380085,7.334363563998049e-08,0.03781868623181153,0.0285690606052599,True,4,40,phi-nl,2.4999999999999998e-05,phi_nl_precharge_gain_boundary_screen,True,0.024253098140047086,complete,550,0.028749066718585237
cc1022_th0550_stop025.00us_fanin04_w48,1022,,True,72,8.074596653153439e-08,5.630116666666685e-06,0.021474162689571023,1.0023394856257524e-07,0.02084102837328855,0.014341792774844948,True,216,1.0979860351267016e-07,3.988666666666664e-06,0.029106224060779298,1.1681057790762493e-07,0.03388881780674594,0.027527645874812864,True,4,48,phi-nl,2.4999999999999998e-05,phi_nl_precharge_gain_boundary_screen,True,0.021474162689571023,complete,550,0.02084102837328855
cc1022_th0550_stop025.00us_fanin04_w56,1022,,False,168,7.36996909385988e-08,7.33201666666665e-06,0.014332999325900382,6.569221161345735e-08,0.01641669182922447,0.010051762603549133,True,176,1.705908685845912e-07,7.147049999999983e-06,0.027438554816396517,9.6715390019715e-08,0.029312434471300882,0.02386871066868031,False,4,56,phi-nl,2.4999999999999998e-05,phi_nl_precharge_gain_boundary_screen,True,0.014332999325900382,complete,550,
cc1022_th0550_stop025.00us_fanin05_w32,1022,,False,168,1.6568108589161198e-07,5.7474e-06,0.023559121611262578,6.841312414702596e-08,0.03942951217282997,0.028827136773430066,False,176,1.9883080467797628e-07,5.505083333333329e-06,0.039586389688378194,1.358437010358337e-07,0.038776508196926754,0.0361176739095036,True,5,32,phi-nl,2.4999999999999998e-05,phi_nl_precharge_gain_boundary_screen,True,0.023559121611262578,complete,550,
cc1022_th0550_stop025.00us_fanin05_w40,1022,PyNN worker timed out for phi-nl/transfer/code=1,,,,,,,,,,,,,,,,,,5,40,,2.4999999999999998e-05,phi_nl_precharge_gain_boundary_screen,,,failed,550,
cc1022_th0550_stop025.00us_fanin01_w63,1022,,False,168,1.4173411424137332e-07,3.2529333333333286e-06,0.06903163541120624,8.846723468553092e-08,0.08284282229088215,0.043571170914878936,False,72,1.5091833581782153e-07,2.2438833333333378e-06,0.0951578443044159,9.991200429452557e-08,0.09079072614623629,0.06725765710538481,False,1,63,phi-nl,2.4999999999999998e-05,phi_nl_selected_coordinates_fanin_screen,True,0.06903163541120624,complete,550,
cc1022_th0550_stop025.00us_fanin02_w63,1022,,False,176,1.3712242391304027e-07,5.015799999999998e-06,0.0330939244003071,8.60706136706004e-08,0.040356132136009255,0.027338096397990414,False,256,1.0576805623830931e-07,2.938283333333337e-06,0.053821952153352705,9.15862599452207e-08,0.05288432416006774,0.03599654772513741,True,2,63,phi-nl,2.4999999999999998e-05,phi_nl_selected_coordinates_fanin_screen,True,0.0330939244003071,complete,550,
cc1022_th0550_stop025.00us_fanin04_w63,1022,,False,168,9.682386180613982e-08,8.40151666666666e-06,0.01596280834337419,6.996512187918548e-08,0.02096325478342899,0.011524569389987905,True,176,1.8605485374520625e-07,8.540758333333336e-06,0.030610685823906962,1.2375330993727226e-07,0.02800057201000418,0.021784348237446464,False,4,63,phi-nl,2.4999999999999998e-05,phi_nl_selected_coordinates_fanin_screen,True,0.01596280834337419,complete,550,
cc1022_th0550_stop025.00us_fanin08_w63,1022,,False,168,7.542880998892195e-08,1.1841741666666664e-05,0.010991746782581547,6.802055350351895e-08,0.011150350949083806,0.0063697395292152525,True,216,8.581375181170222e-08,8.15842499999999e-06,0.015894239541903107,8.764272537882333e-08,0.015763770343986787,0.010518421363400697,False,8,63,phi-nl,2.4999999999999998e-05,phi_nl_selected_coordinates_fanin_screen,True,0.010991746782581547,complete,550,
