candidate_id,coordinate,nl_calibration_nrmse,nl_calibration_rank,nl_calibration_rt,nl_calibration_valid,nl_held_out_rt,nl_held_out_valid,nl_parameter_drift,nl_validation_nrmse,nl_validation_rank,np_calibration_rt,np_calibration_valid,np_dynamic_calibration_nrmse,np_dynamic_calibration_rank,np_dynamic_parameter_drift,np_dynamic_validation_nrmse,np_dynamic_validation_rank,np_held_out_rt,np_held_out_valid,np_static_calibration_nrmse,np_static_calibration_rank,np_static_parameter_drift,np_static_validation_nrmse,np_static_validation_rank,run
cc1022_th0600_stop025.00us_fanin01_w63,3,0.1118633685906052,1.0,0.4466770944736822,False,0.39919865021646367,False,0.35277508654849576,0.335841314492989,0.4999999999999999,0.6751424246176798,False,0.43314253950719206,0.5,0.11793721973109936,0.4367053814095674,0.4999999999999999,0.6749260300831201,False,0.07583088304191075,1.0,0.14298808432612117,0.315195794961603,0.9999999999999998,coarse
cc1022_th0600_stop025.00us_fanin01_w63,134,0.052585232627849456,1.0,0.15285142941246727,False,0.1776545621248509,False,0.12222512219969554,0.07461808950663049,0.9999999999999998,0.2613931657584264,False,0.11356104622909531,1.0,0.0927908636688217,0.08313363675480204,0.9999999999999998,0.28718396019135795,False,0.1826391022849036,1.0,0.3115406480954652,0.22160921100557288,0.9999999999999998,coarse
cc1022_th0600_stop025.00us_fanin01_w63,273,0.09979168987605334,1.0,0.15754525756269558,False,0.20142777872118178,False,0.03203512050044076,0.09968645501006766,0.9999999999999998,0.19420417986611183,False,0.0631160574368814,1.0,0.010316066725180102,0.010743594824203258,0.9999999999999998,0.18348755919063867,False,0.72760262991698,0.5,0.6988727858299107,0.9321930776985831,0.4999999999999999,coarse
cc1022_th0600_stop025.00us_fanin01_w63,390,0.1524947200638033,1.0,0.08183773695267108,False,0.09670774703407958,False,0.00950648125213206,0.21387558634619683,0.9999999999999998,0.2668002781667632,False,0.011234779893027609,1.0,0.0021775949673422147,0.02755614962337405,0.9999999999999998,0.26087787296072845,True,0.08749491367069141,1.0,0.013942140118508715,0.03521166774862209,0.9999999999999998,coarse
cc1022_th0550_stop025.00us_fanin03_w40,72,0.012015238036259998,1.0,0.03227797819130389,True,0.030093320296596292,True,0.002466155149670547,0.006155229268614219,0.9999999999999998,0.03988350384194262,True,0.027345673860821096,1.0,0.034716017868537626,0.029584440288088144,0.9999999999999998,0.03421956337966492,True,0.04345607660823277,1.0,0.008023141578431255,0.04372540664196709,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
cc1022_th0550_stop025.00us_fanin03_w40,80,0.05820955206257363,1.0,0.03157182645892077,False,0.03886900334379408,True,0.01597560710640253,0.044418453849605306,0.9999999999999998,0.051009391192797945,True,0.016874757672660317,1.0,0.048498845265591825,0.030055449296245058,0.9999999999999998,0.05791956398264774,True,0.01703017660967841,1.0,0.0007693921801782356,0.01753973599176643,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
cc1022_th0550_stop025.00us_fanin03_w40,96,0.010217518594454224,1.0,0.0374039550790358,True,0.03198746892872389,True,0.00012356388362483973,0.03897694235185365,0.9999999999999998,0.05353451611121095,True,0.0273985111606245,1.0,0.04124203821655485,0.03986913350904842,0.9999999999999998,0.05986902946308258,True,0.007972790406884476,1.0,0.010316833915886132,0.00906692422168098,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
cc1022_th0550_stop025.00us_fanin03_w40,136,0.03406838721212657,1.0,0.02382459104867007,True,0.03061092747700232,True,0.0016783434097644605,0.02797752791720743,0.9999999999999998,0.05023211495680676,True,0.027887751610010215,1.0,0.007220673929568526,0.02596431811017873,0.9999999999999998,0.043415064495083304,True,0.028529145514973094,1.0,0.006264575426403328,0.024029884361017904,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
cc1022_th0550_stop025.00us_fanin03_w40,168,0.008354920632218528,1.0,0.018427516180636788,True,0.01603268762761598,True,0.04025308541864086,0.023908180336923525,0.9999999999999998,0.050019789581142365,True,0.02343553903360955,1.0,0.015085714285713597,0.01062713764010733,0.9999999999999998,0.05417110291008131,True,0.032556357812347836,1.0,0.006464445549480511,0.032309732720615825,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
cc1022_th0550_stop025.00us_fanin03_w40,176,0.008926468353154372,1.0,0.024754272062294854,True,0.0268242489687539,True,0.06303867776604566,0.03321745081857313,0.9999999999999998,0.04421916512087258,True,0.012144866415703663,1.0,0.015371292487553843,0.021479085180384244,0.9999999999999998,0.046817188732979506,True,0.024083853134098634,1.0,0.008107412491420782,0.024198631021449174,0.9999999999999998,phi_nl_precharge_gain_boundary_screen
