pool_size,placement,routing,estimator,evaluation_trials,valid_pools,all_miss_rate,neuron_miss_rate,multi_spike_rate,bias_s,mae_s,variance_s2,mean_pairwise_correlation
1,same-quadrant,broadcast,corrected-mean,4,12,0.0,0.0,0.0,9.910787208825512e-08,7.053092891671424e-07,1.0225271920996722e-12,nan
1,same-quadrant,broadcast,mean,4,12,0.0,0.0,0.0,9.910787208825569e-08,7.053092891671421e-07,1.0225271920996712e-12,nan
1,same-quadrant,broadcast,median,4,12,0.0,0.0,0.0,9.910787208825569e-08,7.053092891671421e-07,1.0225271920996712e-12,nan
1,same-quadrant,broadcast,earliest,4,12,0.0,0.0,0.0,9.910787208825569e-08,7.053092891671421e-07,1.0225271920996712e-12,nan
4,same-quadrant,broadcast,corrected-mean,4,12,0.0,0.0,0.0,-9.741281241444419e-08,3.8060373732334647e-07,2.6921485173747384e-13,0.1494858917354522
4,same-quadrant,broadcast,mean,4,12,0.0,0.0,0.0,-9.741281241444588e-08,3.806037373233479e-07,2.6921485173747565e-13,0.1494858917354522
4,same-quadrant,broadcast,median,4,12,0.0,0.0,0.0,-5.652421986756055e-07,6.652825572480581e-07,4.5714619098767e-13,0.1494858917354522
4,same-quadrant,broadcast,earliest,4,12,0.0,0.0,0.0,-1.5514891258628199e-06,1.5514891258628199e-06,5.867068721938404e-13,0.1494858917354522
