neuron,physical_coordinate,baseline_cadc,baseline_excursion_q99,psp_peak_q10,psp_peak_median,baseline_fired_rate,stimulated_fired_rate
0,0,-40.53592252731323,2.9132394027709956,14.958000183105469,15.572580337524414,0.0,0.0
1,1,-50.2649827003479,2.461276969909668,14.885318374633789,15.0,0.0,0.0
2,2,-45.19293689727783,2.919123382568359,15.571198654174804,17.0,0.0,0.0
3,3,-46.824429512023926,2.0,14.889997863769532,15.169816970825195,0.0,0.0
